h_np (nm),h_extrude (nm),Total transmittance (1),Average 1 (W/m^3),Total reflectance and transmittance (1)
400,19.999999999999996,0.9297602382467787,4.182102777093094E13,0.9737227148031041
400,39.99999999999999,0.9288901398132907,2.8516537461503695E13,0.9641656745662668
400,60,0.9319152665866038,2.2705971921986805E13,0.9572007274261501
400,79.99999999999999,0.9332950724829101,2.001799003548863E13,0.9496960805032423
400,100,0.9305884852066612,1.9226436954925805E13,0.939599448825365
400,120,0.9197819857433055,2.0381626251139887E13,0.9231635830361404
400,140,0.8842304919230127,2.591227451258826E13,0.8860329800996981
400,159.99999999999997,0.7052235082754328,5.320458126644467E13,0.7325666186347598
400,180,0.6308547533401726,5.4718242548591766E13,0.6905760702695652
400,200,0.8234781931977895,2.577696392843525E13,0.8380401347162911
400,219.99999999999997,0.8344096223426856,2.323487170187755E13,0.8394138241627535
400,240,0.8022331102186254,2.541165891888743E13,0.8084024886750919
400,259.99999999999994,0.7370840974196101,3.011287316472145E13,0.7540366771341768
400,280,0.6247028980584471,3.7632709090260836E13,0.66896927783413
400,300,0.43805406610143854,4.8464986129322734E13,0.543233000826633
400,319.99999999999994,0.22348748566397023,5.842312991067053E13,0.4126725024967299
400,340,0.24104736887261244,5.089749751144749E13,0.4563470455934442
400,360,0.45931659989190987,3.287135311451985E13,0.6282391377539577
400,379.99999999999994,0.6191745511929406,2.315098794741779E13,0.7236258637205113
400,400,0.4996146907603992,3.844997880050417E13,0.5168274195135534
450,19.999999999999996,0.8977572170615686,4.402616774235072E13,0.9649924732485372
450,39.99999999999999,0.8854818999527834,3.0380108683047312E13,0.9516827652687486
450,60,0.8855931403806997,2.4640447766350594E13,0.9412177319440796
450,79.99999999999999,0.8870876439311576,2.243322130142298E13,0.9286435685330876
450,100,0.883607525996984,2.2736155662077492E13,0.9095995333569599
450,120,0.8643713510850318,2.6205088743265375E13,0.8749684822114764
450,140,0.7718189301318545,3.954480258045344E13,0.7798755515918454
450,159.99999999999997,0.4019088128976728,7.570543296152366E13,0.518385058738184
450,180,0.5698295788347817,5.20094265390379E13,0.6277737640118713
450,200,0.5050124797326303,5.356727394149061E13,0.5740285255020153
450,219.99999999999997,0.4457470437782231,5.252990890853767E13,0.5405046223727399
450,240,0.4281839752277445,4.869519076249425E13,0.535324769451097
450,259.99999999999994,0.4190685760066911,4.604235029805456E13,0.5240267270016082
450,280,0.3869930400788466,4.585446106749295E13,0.48950401894230045
450,300,0.283097777898493,5.134250004909492E13,0.38757824107382205
450,319.99999999999994,0.18839211919251084,5.299095199776396E13,0.3257778621088542
450,340,0.28914041902918375,4.119170045811768E13,0.4431471459669485
450,360,0.4346119960013061,3.167018795521071E13,0.5466808986222278
450,379.99999999999994,0.5142085743015832,2.7821979244432113E13,0.5796387828940465
450,400,0.5966651004272756,2.3605383340601117E13,0.6245765059976837
500,19.999999999999996,0.8532455167334051,4.538148800694398E13,0.9554392077907209
500,39.99999999999999,0.8156746601063106,3.1537970806317164E13,0.9380749831402828
500,60,0.8042374253377741,2.5962513169799125E13,0.9235321982719104
500,79.99999999999999,0.7998546492475649,2.477351868939435E13,0.902714794654705
500,100,0.7858658205550413,2.8275687016492605E13,0.8612030661999325
500,120,0.7368310679615293,3.674982821369682E13,0.783527043505959
500,140,0.6032495706754205,5.385776099437167E13,0.6298771907141311
500,159.99999999999997,0.23106335396035407,6.1690111190679484E13,0.5154891400353223
500,180,0.4482976522363703,3.39188183964849E13,0.7003027334396508
500,200,0.5363313499675031,2.770831669802344E13,0.7279710681741072
500,219.99999999999997,0.5400504453648117,3.0983618562706656E13,0.6654026352159487
500,240,0.5519548573345877,3.3871729306428434E13,0.6009594496454641
500,259.99999999999994,0.4598661473220677,4.1350773983460484E13,0.4722553302845108
500,280,0.18335809377044035,4.895803621460217E13,0.32710208013576103
500,300,0.10886769958159076,3.610544979752861E13,0.4683059294777315
500,319.99999999999994,0.2724344110184116,2.3339314069403082E13,0.6333891210831384
500,340,0.38089395432296286,1.833763970778333E13,0.6939514992436183
500,360,0.43604417910097487,1.679920748863349E13,0.7031350762320807
500,379.99999999999994,0.4568545745217628,1.7466193618018246E13,0.6742017277842345
500,400,0.47595072908195335,2.3287923176449707E13,0.5427475186397744
550,19.999999999999996,0.7985381777430849,4.568486899368603E13,0.9457305903719767
550,39.99999999999999,0.7225515397480918,3.171678090220429E13,0.9246470667117158
550,60,0.687299587473014,2.6673534151132586E13,0.9049426558738649
550,79.99999999999999,0.6528248613293925,2.997416493071604E13,0.8575734892755819
550,100,0.6302363853293644,2.7125317702109668E13,0.8388890216188498
550,120,0.659539134331099,2.8060462031695746E13,0.7999999225657983
550,140,0.38480428606119255,6.440377356458649E13,0.4644573614882771
550,159.99999999999997,0.26727649817171667,3.504292354026917E13,0.6669772208187055
550,180,0.4017171511610918,2.636092311617842E13,0.7181701456589293
550,200,0.4098165769821348,3.3179408780093203E13,0.6058565959074784
550,219.99999999999997,0.48546568956334246,3.4673069702966344E13,0.5469258643660919
550,240,0.36896623063330747,4.238973015657307E13,0.39573523429485374
550,259.99999999999994,0.06491358911187646,4.222887880659953E13,0.34786734876562514
550,280,0.021995627641017475,3.04849212180532E13,0.49301286704391284
550,300,0.08338549300509264,2.445847588018924E13,0.5641822731914076
550,319.99999999999994,0.12739373437021936,2.246906838784475E13,0.5729400545721918
550,340,0.15105386334648876,2.2220749290431344E13,0.5512632061483693
550,360,0.16147712544658746,2.2929726775216457E13,0.5097072706332132
550,379.99999999999994,0.1666659862521954,2.498280216134034E13,0.436130809793811
550,400,0.2846070504462654,2.5431815325440844E13,0.39578494816444776
600,19.999999999999996,0.7401031922680803,4.499699787846703E13,0.9363867179383335
600,39.99999999999999,0.6186291327331438,3.100224908870782E13,0.912343073143449
600,60,0.5489486231180144,2.7876675521996188E13,0.8817697907021955
600,79.99999999999999,0.5041360207590523,2.335407813434093E13,0.8679354210627667
600,100,0.49039854001466704,2.284998677850351E13,0.8384844487647943
600,120,0.48769015886564215,2.9293016071871297E13,0.7515287276145413
600,140,0.12911581649052234,6.3607363654601875E13,0.37054238850960497
600,159.99999999999997,0.22137455198827768,3.0481530251482617E13,0.6552637503540314
600,180,0.24818320411705844,3.515945910788341E13,0.5526515933068543
600,200,0.2686812471160949,4.5020568579623625E13,0.3635392875366551
600,219.99999999999997,0.15092087949603086,5.3669955848666336E13,0.16538758276590804
600,240,0.0333484434867245,4.590811672831673E13,0.22118960274550797
600,259.99999999999994,0.059265319749688,3.779101112776609E13,0.3054644301787107
600,280,0.11176067082279877,3.3870427177042426E13,0.32963744600955747
600,300,0.1575075336226043,3.151796177506211E13,0.3316393318356156
600,319.99999999999994,0.18657471039355691,2.9858786151876035E13,0.3246118463310782
600,340,0.19601311528789045,2.843915659887144E13,0.31651811254581436
600,360,0.17967140354048064,2.702368168655828E13,0.3123327652054839
600,379.99999999999994,0.10388543950416453,2.7742909103458863E13,0.2548100834237713
600,400,0.09613489503657498,2.8876735977039637E13,0.1835323992515659
650,19.999999999999996,0.6845596008611778,4.359563106800756E13,0.9276684505170111
650,39.99999999999999,0.5206134853696349,2.977613366034629E13,0.901194093459516
650,60,0.4239842693364192,2.4333568317542684E13,0.878877828439415
650,79.99999999999999,0.36233744490117537,2.269201690358689E13,0.8494018949511923
650,100,0.312928607925975,2.4680361501370457E13,0.7952579172583776
650,120,0.276275221276959,3.3743922726114793E13,0.6640825794049644
650,140,0.07924135900548308,4.1332121020688445E13,0.519965761121891
650,159.99999999999997,0.11559432919916846,4.232250067871705E13,0.43824496419000647
650,180,0.0816801477701444,5.487027512114037E13,0.18065923199637246
650,200,0.03465381364817842,5.693281451068087E13,0.05539950055050005
650,219.99999999999997,0.13071208260559128,4.1831673013988055E13,0.23654458900702552
650,240,0.2261635449985428,3.1945184148005473E13,0.363978997137706
650,259.99999999999994,0.268185770807706,2.718168351068069E13,0.4137194368122611
650,280,0.26373336397226993,2.5361356445176117E13,0.4109038161675135
650,300,0.2253049923466022,2.478847708441716E13,0.3830826417817965
650,319.99999999999994,0.16704934349852857,2.412036384011685E13,0.35969127394686273
650,340,0.11115636861925392,2.2525131939696074E13,0.3646671721659638
650,360,0.05848525865421188,2.2121343812898438E13,0.3393526308597884
650,379.99999999999994,0.08169915847105998,2.5184106854601E13,0.2060994676219408
650,400,0.15909997849414087,2.152136652508896E13,0.2858560427944349
700,19.999999999999996,0.6370511913907816,4.194628751717083E13,0.9192878976557457
700,39.99999999999999,0.4367774790016542,2.852425347021816E13,0.8902261836651353
700,60,0.3180538068851937,2.398204549823394E13,0.8615584057346183
700,79.99999999999999,0.22715099041543402,2.463314199640122E13,0.8104013595114479
700,100,0.14694309873279832,2.9600136847377836E13,0.7152140112544574
700,120,0.058026342871911135,4.852823121240391E13,0.43972633777761316
700,140,0.08398647676831816,4.69663401935668E13,0.3673843693795519
700,159.99999999999997,0.08916279792620031,5.4421589819498086E13,0.16224622316992504
700,180,0.003420887115958852,5.437950094720619E13,0.058255456566611026
700,200,0.18690837893407033,3.53201648129637E13,0.3203614707992509
700,219.99999999999997,0.2799555396424241,2.6328535286089387E13,0.4427189306085508
700,240,0.2721596188729061,2.477166535643723E13,0.4280056593613007
700,259.99999999999994,0.20576993415310213,2.464079986961009E13,0.38361347594805284
700,280,0.13513850511921316,2.2851970425130008E13,0.3843876397161937
700,300,0.09921739779027453,1.933497454192836E13,0.44192766633442826
700,319.99999999999994,0.08564744392923171,1.635506793275868E13,0.49646497729389993
700,340,0.07177183495904726,1.509770218937468E13,0.5061268364512592
700,360,0.058672021861638314,1.7639122963768117E13,0.38905114819911124
700,379.99999999999994,0.18771381230847253,1.827718529033397E13,0.33178104263911495
700,400,0.06125831368231205,1.9556529627048688E13,0.2473782493787222
749.9999999999999,19.999999999999996,0.6005591850784288,4.036328307893227E13,0.9108398569330323
749.9999999999999,39.99999999999999,0.3695765175637105,2.810469916904885E13,0.8758367651600414
749.9999999999999,60,0.2259609320918966,2.520653045427213E13,0.8329614576542542
749.9999999999999,79.99999999999999,0.11237074489603412,2.8811614756503723E13,0.7454289317430539
749.9999999999999,100,0.05002106518229182,3.7919363174194555E13,0.5811941099223228
749.9999999999999,120,0.1329581754608698,4.412997858811371E13,0.4151201302667532
749.9999999999999,140,0.2606321454831963,4.316740130249112E13,0.3325235968638952
749.9999999999999,159.99999999999997,0.08770187182559151,4.947636953977294E13,0.1256815119424237
749.9999999999999,180,0.1049535473683938,3.996122042996997E13,0.20555665812444474
749.9999999999999,200,0.2979151103036755,2.6593868215264645E13,0.4125598471603481
749.9999999999999,219.99999999999997,0.2533749917662894,2.6331512005664176E13,0.3601919046875002
749.9999999999999,240,0.13784844227284448,2.522583011275499E13,0.33133688055323973
749.9999999999999,259.99999999999994,0.0760912536372988,2.0494267159805137E13,0.41148518242376586
749.9999999999999,280,0.07725694513624329,1.626638553086981E13,0.4969619446718436
749.9999999999999,300,0.08053766131323564,1.4054377465776912E13,0.5343228107678085
749.9999999999999,319.99999999999994,0.07808827000365712,1.3147738069286098E13,0.5353216478840795
749.9999999999999,340,0.06026302609085429,1.402359449833382E13,0.47338842509838946
749.9999999999999,360,0.07139065396612089,1.7502271869683332E13,0.30409593379651445
749.9999999999999,379.99999999999994,0.12365841318645847,1.779463133871281E13,0.2531649190964289
749.9999999999999,400,0.008088962442521669,1.8631840165862566E13,0.1768715662295546
800,19.999999999999996,0.5729695683356568,3.9056533491118016E13,0.9018402114826944
800,39.99999999999999,0.31240018500911454,2.8467869423705156E13,0.856905325201545
800,60,0.14405052692976847,2.7874214912741832E13,0.7898339902361067
800,79.99999999999999,0.04083073039178859,3.51115791208638E13,0.6470217264390025
800,100,0.1322748593118985,4.1784204505297016E13,0.4749252233292881
800,120,0.3610466123072249,3.636328790969059E13,0.45165533586247136
800,140,0.40440997252308575,3.3310930964302457E13,0.4139638099501646
800,159.99999999999997,0.08278227683594497,4.1196758246421266E13,0.17169148042722698
800,180,0.2107853559805018,3.254040516662273E13,0.2639540124078483
800,200,0.2615070416233864,2.692966420252395E13,0.32318471644491176
800,219.99999999999997,0.114329173374377,2.5321929858859242E13,0.29995118631827744
800,240,0.04256979997363371,1.987893134263587E13,0.40046566722129495
800,259.99999999999994,0.05102618984355741,1.5491815358171041E13,0.49384362684177624
800,280,0.0649979089515697,1.3685005775975295E13,0.5184821233904131
800,300,0.07004464743475627,1.3364855282324816E13,0.496157449291609
800,319.99999999999994,0.06410118946276852,1.3949603997713904E13,0.4390537052769121
800,340,0.039761131743324386,1.562457200578322E13,0.33243081050615464
800,360,0.03221891869197987,1.8414767623413363E13,0.16693688624391645
800,379.99999999999994,0.019003164562116513,1.987201908448637E13,0.05106876376613462
800,400,0.049583041342369204,1.5701394699080588E13,0.21076235007369687
849.9999999999999,19.999999999999996,0.5513940162440116,3.810242135178599E13,0.8918939920483768
849.9999999999999,39.99999999999999,0.2583356626519178,2.9630599758859812E13,0.8318616784452024
849.9999999999999,60,0.07309303693653302,3.205695367781595E13,0.7271396985710415
849.9999999999999,79.99999999999999,0.06367542393056079,4.067607332479867E13,0.5383681130474178
849.9999999999999,100,0.3300327803703843,3.595768291553841E13,0.48989491326179246
849.9999999999999,120,0.500241684834928,2.777418421852988E13,0.5271869511810623
849.9999999999999,140,0.4489887242603858,2.760486086684679E13,0.45174730766894194
849.9999999999999,159.99999999999997,0.10104135981709002,3.56552025249475E13,0.1906985038002828
849.9999999999999,180,0.2572040114963432,2.8192200986515688E13,0.28010477333425665
849.9999999999999,200,0.15265474370590149,2.5460144106512066E13,0.2776318600672553
849.9999999999999,219.99999999999997,0.034973133449960364,2.105530892691719E13,0.3428698721793396
849.9999999999999,240,0.01929185115910924,1.64448451479151E13,0.44010292472424317
849.9999999999999,259.99999999999994,0.036560554097208334,1.4610869176949076E13,0.4610884914424875
849.9999999999999,280,0.05081451353212242,1.4266355971730496E13,0.43331927880171817
849.9999999999999,300,0.05440189121227691,1.461682545371741E13,0.3779265713392751
849.9999999999999,319.99999999999994,0.044532789053290216,1.5555694695308533E13,0.29383408718388593
849.9999999999999,340,0.025511551803528043,1.7001034097611873E13,0.17998604211876204
849.9999999999999,360,0.00859108008402562,1.849189195208286E13,0.05561068893168574
849.9999999999999,379.99999999999994,0.0026736118636379053,1.845627741780869E13,0.005064268474871719
849.9999999999999,400,0.09535032025090806,1.435552109518124E13,0.18539689942297208
900,19.999999999999996,0.5303138860576186,3.7517095873994125E13,0.8806645245930944
900,39.99999999999999,0.19956477995432428,3.1614417686209082E13,0.7988787016325959
900,60,0.01799501045043324,4.410474493061858E13,0.5791271598475812
900,79.99999999999999,0.19983548409027657,3.696052273908707E13,0.5297353192799501
900,100,0.47094516007627646,2.8489207189406848E13,0.5468992569717462
900,120,0.5474139748168058,2.3127692576707383E13,0.55860448344764
900,140,0.42930974316976506,2.5208210061662965E13,0.43871672341090096
900,159.99999999999997,0.1350174779391138,3.188054744747303E13,0.18874063442041927
900,180,0.2306832176302202,2.552450634661344E13,0.26929155312468434
900,200,0.0769278756927078,2.261260014730204E13,0.28072579609123016
900,219.99999999999997,0.005472562318709676,1.8410484341119527E13,0.355827957458697
900,240,0.009439233034806102,1.5953248261167508E13,0.39105848527143716
900,259.99999999999994,0.031173074643679303,1.4988867175297387E13,0.3801922595675742
900,280,0.04922090984477023,1.4688890991575143E13,0.345873346528739
900,300,0.048064750896227804,1.4959892738334152E13,0.2862202642673798
900,319.99999999999994,0.049948157685274885,1.5981004996533592E13,0.18666687261560494
900,340,0.015051648348167454,1.6701714469418617E13,0.09686125299495611
900,360,0.005528832915744526,1.682488862335565E13,0.036682361473715966
900,379.99999999999994,0.0658721915422509,1.5103912402815656E13,0.0871738621757161
900,400,0.1372880887618641,1.2795801169823385E13,0.1859657019637301
949.9999999999999,19.999999999999996,0.5072213723334295,3.687628277289807E13,0.8693060591412042
949.9999999999999,39.99999999999999,0.13337255477525226,3.4166537998099668E13,0.7578207173161229
949.9999999999999,60,0.04860589258350625,3.847353863826387E13,0.5909373624925978
949.9999999999999,79.99999999999999,0.34900179880589516,3.064023945196292E13,0.5656281356639269
949.9999999999999,100,0.5405662371961977,2.3273471920745836E13,0.5875822846925894
949.9999999999999,120,0.5563415259606335,2.0353649235937766E13,0.5671871593291561
949.9999999999999,140,0.36317169472312155,2.500805516387194E13,0.3795805537976795
949.9999999999999,159.99999999999997,0.1681704986292922,2.9065963348919312E13,0.1758975557615967
949.9999999999999,180,0.16509952435005226,2.360503976906891E13,0.24707136224713536
949.9999999999999,200,0.04568181262762593,2.092554103479953E13,0.2583763631334718
949.9999999999999,219.99999999999997,0.004060650583153946,1.761919654307114E13,0.31311268250006374
949.9999999999999,240,0.015535299246176554,1.5643607311202535E13,0.3346890968751344
949.9999999999999,259.99999999999994,0.03310653248789631,1.4726655286316898E13,0.3214933228218775
949.9999999999999,280,0.041050910484740764,1.4421021062755756E13,0.28446499589482327
949.9999999999999,300,0.04028873801805819,1.47234866845417E13,0.21727566154882264
949.9999999999999,319.99999999999994,0.021933130962492484,1.5368143956591516E13,0.12853833267568152
949.9999999999999,340,0.004397379331529762,1.5162018729006205E13,0.08649179571272717
949.9999999999999,360,0.05739491741887152,1.403836003127234E13,0.10443753473238267
949.9999999999999,379.99999999999994,0.15496141963858373,1.2110068945913057E13,0.18452888300618883
949.9999999999999,400,0.10710884090532316,1.1996724140455988E13,0.14964665020692686
